Name,Value,Description,AppliesTo
AddTimestampToNotes,Date+Time,Prepends all new notes from FieldAccess with a date and timestamp. Only applies when tech permission is append.,FieldAccess
AlertDispatchforNewTrip,,Enable new trip notification,FieldAccess
AlertSiteNotesExist,,Alert the tech that site notes exist when opening the Trip details page,FieldAccess
AlertSyncErrors,1,Send email alert to admin email address when offline sync up errors occur,FieldAccess
AllContactsOnReport,1,Include all the emails of site contacts in service report viewer.,FieldAccess
AllowAdditionInCustSignoffStage,,Allow addtions in customer signoff stage,FieldQuotes
AllowAmountBasedEntries,,Allow amount based time entries,FieldProject
AllowAttachmentDeletion,1,Allows deletion of attachments through the FieldConnect applications,All
AllowBlankLaborCode,,Allow a blank labor code to be used when entering labor,All
AllowDailyLogDelete,,Allow daily logs to be deleted,All
AllowEquipmentChange,1,Allow equipment to be changed on the scope. Does not apply to PM work orders.,FieldAccess
AllowFutureLaborDates,,Allow labor to set past the current day but within the pay period.,FieldAccess
AllowPOCreatePreMandatoryForms,,Allow PO creation before mandatory forms are completed,FieldAccess
AllowPriorPayPeriodEntry,,Number of days back a user can enter or update payroll entries from the beginning of the current period. Must be 0-7.,All
AllowTaskDelete,1,Ability to delete task in existing scope.,FieldAccess
AllowTaskNoteEdit,1,Ability to edit Note on existing tasks.,FieldAccess
AllowUnschedEstHoursChange,,Allow estimated hours to be changed on unsceduled trips,FieldAccess
AllTripCloseContactsOnReport,,Include only contacts marked for trip close email,FieldAccess
ArtifactsPath,C:\FieldConnect\ACIS\wwwroot\FCAdministration\Artifacts,Path to fcadmin artifacts folder,All
AttachDescrUpdate,1,Allow update of attachment description,All
AttachmentRootPath,C:\FieldConnect\ACIS\Attachments,Drive and path of the attachments folder.,All
AttachReportToTrip,1,Attach service report to trip,All
AttachToJob,1,Associate work order attachments with job. Includes service reports.,All
AttachToPMContract,1,Attach project attachments to the contract,FieldProject
AutoAddCrewTime,,When tracking real time or travel time add hours for crew as well.,All
AutoCompleteCall,None,Complete scope and or close work order after last trip is completed,FieldAccess
BaseFileNameMandatory,,Make base file name for multiple attachments mandatory,FieldAccess
CalendarCellHeight,26,Height of calendar view row cells - defaults to 26 - min is 26,FieldGateway
CallHistoryDaysRange,"54750,30","Comma delimitted Work Order/Calls search date range. Format is DaysBack,DaysForward. Default is 90,0",FieldDirect
CapturingProjectSignatures,1,Signature on the project report.,FieldProject
CapturingSignatures,1,Flag to indicate signature capture for service reports,FieldAccess
CenterEmailOnFTReport,1,Include the service center email on the fieldtime report,FieldTime
CenterEmailOnReport,1,Include the service center email on the service report,FieldAccess
ChartDaysOnly,1,Show days and no hours on the chart,FieldGateway
ChartEventHeight,36,Height of chart view event cells - defaults to 36 - min is 36,FieldGateway
CheckForTimeout,,Redirects user to login page due to inactivity. Applies to FieldProject users as well.,FieldAccess
ClearReportSignatureRecord,,Clear report signature after emailing. Applies only if EmailForSignature is enabled.,FieldAccess
ColumnMarginRight,4,Margin on right side of column in scheduling,FieldAccess
CombineFormsInReportEmail,,Combine all selected forms in one PDF attachment for the report email,FieldAccess
CompanyAddress,,Company address. The | character will be replaced with a line break,All
CompanyLogo,Combined_Logo_40.jpg,Name of the image file used on all forms and sites. The image must be in the ''Images'' folder of any application that will use it. Images are not re-sized. Recommended size is 250x50,All
CompanyName,ACIS Inc.,Company name shown on the service report,All
ConvertToFlatRateOnComplete,1,Convert the quote to flate rate when completed.,FieldQuotes
CopyPONumFromWorkOrder,,Copy PO number from the associated work order,FieldQuotes
CostTypesForProgress,All,Limit cost types for progress entry.,FieldProject
CreateCustomerSite,None,Allow new customer and / or site creation.,FieldAccess
CreateNewScope,,Allow user to create a new scope,FieldAccess
CrewListByLeaderPRDepartment,,Limit crew list by crew leader PR department,FieldAccess
CustEmailOnProjReport,1,Include customer email.,FieldProject
CustEmailOnReport,1,Include customer email form on service report viewer,FieldAccess
CustomColumns,,Custom data in detail view.,FieldTime
CustomerNotificationsEnabled,,When the status of an assignment is set to In-Route an email is sent to the Site,FieldAccess
CustomersForJob,,Use AR customers directly instead of SM customers in FieldDirect and the Management functions of FieldGateway. Use if all work orders are job based.,All
DailyLogsHistoryDays,4,Days past for daily log list display. Set to 0 to only show today.,All
DailyLogsInSiteHistory,,Show daily log entries in site history for job based work orders,FieldAccess
DailyLogsSetDate,,Set the date for a daily log entry,All
DaysForPasswordReset,0,Days past to reset password. Use 0 to disable.,FieldAccess
DefaultCallType,11 - T&M Service,Call type for new work orders,All
DefaultDaysRange,"90,14",Default range for dates in lookup controls,FieldGateway
DefaultEquipCostType,4 - Equipment,Default SM Cost type for equipment.,FieldAccess
DefaultLaborCode,110 - Repair,"Sets repair code for labor entries. If blank, overrrides settings DisableLaborSelect and StatusLaborTypeSelect",FieldAccess
DefaultLaborCostType,1 - Labor,Default SM Cost type for labor entries,FieldAccess
DefaultLoginPage,,Alternate initial page to load after successful FieldDirect login. Affiliate only. Format: DirName/PageName.aspx,FieldDirect
DefaultMiscCostType,6 - Net Adds,Default SM Cost type for NON STD misc entries,FieldAccess
DefaultMiscItem,,Default misc item. Can be blank.,FieldAccess
DefaultNewTripStatus,Notified,Default status for new trip,All
DefaultNonStockCostType,2 - Materials/Parts,Default SM Cost type for non stock entries,FieldAccess
DefaultNoteTab,Trip,Default note tab,FieldAccess
DefaultPage,Trips,Default page after login,FieldAccess
DefaultPartCostType,2 - Materials/Parts,Default SM Cost type for part entries,FieldAccess
DefaultPayType,15 - Regular Time,Sets the default pay type for labor entries.,FieldAccess
DefaultPOItemCostType,2 - Materials/Parts,Default cost type for po item entries,FieldAccess
DefaultQuoteCallType,11 - T&M Service,Default call type for new Quotes,FieldQuotes
DefaultQuotePriority,High-2,Default priority new Quotes,FieldQuotes
DefaultQuoteType,Standard,Default quote type for new quotes,FieldQuotes
DefaultRateTemplate,100 - ACIS Standard Rates,Rate template to use when creating new customers.,FieldAccess
DefaultServiceCenter,100 - Service DFW,Default center when creating new work orders and sites,All
DefaultUnappliedAmountEarnCode,,The default unapplied earn code for amount type,FieldAccess
DefaultUnappliedEarnCode,1 - Regular (HOURLY),Default unapplied earn code,FieldAccess
DefaultUnitOfMeasure,EA - Each,Default UOM for PO item entries,FieldAccess
DescriptionFromVista,,Description field displayed is from Vista instead of FQ data,FieldQuotes
DetailColumns,"description,call,site,regular,overtime,doubletime,other","Columns shown in detail view - Available: description, wodescription, call, scope, site, enteredby, started, labornotes, crafttemplate, paytype, laborcode, costtype, certifiedpayroll, regular, overtime, doubletime, other",FieldTime
DetailColumnsFG,"description,call,site,regular,overtime,doubletime,other","Columns shown in detail view - Available: extdescription, description, wodescription, call, scope, site, labornotes, crafttemplate, paytype, laborcode, costtype, certifiedpayroll, regular, overtime, doubletime, other",FieldTime
DisableAddAfterOfficeApproval,,Disable input after office approval. Applies to office type quotes,FieldQuotes
DisableLaborSelect,,Disable labor code selection,FieldAccess
DisableUnappliedBackDate,,Disable ability to enter unapplied time in prior payroll periods. If payroll period is not defined then abilty to back date will be disabled.,FieldAccess
DispatchDefaultView,Chart,Default dispatch page,FieldGateway
EditLaborBillQty,,Allow editing of labor bill quantity,FieldAccess
EditPartsCost,,Edit part cost on quote details,FieldQuotes
EditPONumber,,Allow PO number to be editable,FieldQuotes
EmailForSignature,,Ability to email the customer link to service report for customer signature,FieldAccess
EmailQuoteForSignature,,Ability to email a link to the quote report for customer signature,FieldQuotes
EmailReportAnyStage,,Ability to email report to back office at any quote stage,FieldQuotes
EnableAvailabilityNotification,,Enable availability notifications,FieldGateway
EnableCustomerNotes,,Enable customer note entry and update,FieldAccess
EnableMemoField,,Enable or disable memo field in Timesheet,FieldProject
EnablePartsNotes,,Enable parts notes field in quote details.,FieldQuotes
EnablePONotes,,Allow PO notes to be editable,FieldAccess
EnableScopeNotes,,Enable read write of quote scope notes,FieldQuotes
EnableShiftField,1,Enable or disable shift field in time entry,FieldProject
EnableSingleTrip,,Only allow tech to work on one trip at a time. Based on trip status.,FieldAccess
EnableUnapprovedTime,,Enable Unapproved Time Report in FieldTime,FieldTime
EquipAdvReadOnlyProperties,,Set advanced equipment properties section read only by disabling update,FieldAccess
ExcludeTechEmailOnReport,,Exclude tech email on service report,FieldAccess
ExtApprovalCheckMandatory,,Make the extension approvals mandatory,FieldTime
ExternalFieldAccessURL,https://acisinc.fieldconnect.com/FieldAccess,The base URL for FieldAccess accessible from the internet,FieldAccess
ExternalFieldQuotesURL,,The base URL for FieldQuotes accessible from the internet,FieldQuotes
FAEnableShiftField,,Enable or disable shift field in labor entry.,FieldAccess
FCPaymentReference,Workorder,Ability to save FC payment in workorder or scope.,FieldAccess
FDCompanyLogo,Combined_Logo_30.jpg,Name of the image file used on all forms and sites. The image must be in the 'Images' folder of any application that will use it. Images are not re-sized. Recommended size is 250x50,FieldDirect
FGTimeCardSignature,,Require a signature in FieldGateway FieldTime,FieldTime
FieldAccessFormsURL,https://acisinc.fieldconnect.com/FieldAccess/Forms,The url to the FieldAccess forms templates,FieldDirect
FieldAccessURL,https://acisinc.fieldconnect.com/FieldAccess,FieldAccess URL for FieldQuotes users,FieldQuotes
FieldDirectURL,https://acisinc.fieldconnect.com/FieldDirect,The URL to the FieldDirect customer portal,All
FieldQuotesURL,https://acisinc.fieldconnect.com/FieldQuotes,FieldQuotes URL for FieldAccess users,FieldAccess
FieldTimeURL,,FieldTime URL for FieldAccess users,FieldAccess
FollowUpAction,Email,Followup action,FieldAccess
FollowUpEmailToServiceCenter,,Include service center email in followup,FieldAccess
FormsMandatoryBeforeAccess,,Mandatory forms must be completed before any work is done on a trip,FieldAccess
FormsVPAttachType,SM Attachments - Service Reports & Logs,The type to use when saving completed forms to the DM module. The list is filtered to only show custom types.,All
FPLaborOnStatusChange,,Auto add labor on status change. Transition definitions must be defined in FPStatusTransForLabor table.,FieldProject
FPOfflineFullSyncDate,1/12024,Date to force full sync for FieldProject.,FieldProject
FPTimesheetAccess,Full,Access to the Timesheet page.,FieldProject
FPUsingOffline,1,Using offline for FieldProject.,FieldProject
FPUsingProjectAssignments,,Ability to treat project and phase as an assignment where status can be tracked.,FieldProject
FTApproveMethod,Approve Only,Approval method when using the FT approval process,FieldTime
FTReportVPAttachType,ACIS Project Scope - ACIS Agreement with Scope Details,The type to use when saving FieldTime reports to the DM module. The list is filtered to only show custom types.,FieldTime
GeoCodeAccessKey,<<redacted>>,Key used to access FieldConnect mapping services,All
GeoCodeServiceActive,1,Use new FieldConnect mapping service,All
GeoCodeServiceApiKey,<<redacted>>,Api key to Geo coding service,All
GeoCodeServicePlugin,GeoCodeFarm,Plugin that communicates with geo code service,All
HideContactsLink,,Do not show the contacts link on the details page,FieldAccess
HideCrewList,,Do not show crew list for crew leaders,FieldTime
HideInvoiceTab,,Hide the invoice tab on the site detail page,FieldDirect
HideLookup,,Hide lookup page,FieldAccess
HideLookupByCustomer,,Hide the search by customer on the lookup page,FieldAccess
HidePOItemCost,,Hide unit cost for PO items,FieldAccess
HidePOTax,,Hide PO tax fields,FieldAccess
HideProblemsTab,,Hide problems tab,FieldDirect
HideQuoteNotesTab,,Hide quote notes tab,FieldQuotes
HideServiceReportAttachments,,Hide attachments when creating a service report,FieldAccess
HideServiceReportForms,,Hide forms when creating a service report,FieldAccess
HideStatusChange,,Hide ability to change status.,FieldAccess
HideTripScopeSelect,,Hide trip scope selector,FieldAccess
HideTripsPanel,,Hide the trips list panel on the work order detail page,FieldDirect
HideWeekends,,Hide weekends on calendar and chart,FieldGateway
HoursInLaborThroughPayroll,,Use hours entry in labor through payroll,All
IncludeAgreementInvoices,,Include customer agreement invoices,FieldDirect
IncludeArchivedCalls,,GP Only - Include archived service calls in lists. Includes history lists in FieldAccess,FieldDirect
IncludeCommentsInReport,,Include comments in FieldTime PDF report,FieldTime
IncludeCustEmailInRequest,,Include the customer email in the request service form,FieldDirect
IncludeNoteInTaskStatusUpdate,,Include note update when updating task status,FieldAccess
IncludeProjManagerEmail,,Include the project manager on the project report email,FieldProject
IncludeReportLogo,,Include the report logo in the report PDF,FieldTime
IncludeReviewGroupEmail,,Include the review group responsible person email,FieldTime
IncludeSalesEmail,,Include salesperson in email alerts,FieldQuotes
IncludeSalesEmailOnTaskReport,,Include the work order udSalesman employee email on the task report,FieldAccess
IncludeScopeDivision,,Include the scope division for every entry in the FieldTime V2 report,FieldTime
IncludeSiteDescInReportEmailSubject,,Include the site description in the subject line of the report email. Value will be truncated to 30 characters.,FieldAccess
IncludeSiteEmailInRequest,,Include the site email in the request service form,FieldDirect
IncludeSoftClosedInLookup,,Ability to include soft closed jobs in the job lookup,FieldProject
IncludeSupervisorEmail,,Include supervisor email in the FieldTime report,FieldTime
IncludeSupervisorEmailOnServiceReport,,Include supervisor email in the service report,FieldAccess
IncludeWODescription,,Include the work order description for every entry in the FieldTime V2 report,FieldTime
IndividualPhaseSelection,,"Phase selection per type (labor, material, etc) instead of global",FieldProject
IndividualScopeSelection,,Scope selection in individual work completed entry panels,FieldAccess
IntegratedServiceReports,1,Service reports are saved in the VP DM module.,All
LaborAddForOtherTech,,Ability to select a tech for labor emtries.,FieldAccess
LaborBatchPerEmployee,,If LaborThroughPayrol use/create batch per employee in addition to pay period,All
LaborClassCraftInput,,Allow techs to enter class and craft in labor section.,All
LaborDateEdit,1,Allow tech to set the date of labor entries,FieldAccess
LaborRoundingPoint,None,Round labor to nearest specified minute.,All
LaborRoundingType,Billed,"Apply rounding to auto labor entries for Billed, Cost or Both. Works with the LaborRoundingPoint setting.",FieldAccess
LaborTechSelectDefaultToUser,,Set labor tech selection to the logged on tech user. Does not apply for office users.,FieldQuotes
LaborTechSelectDefaultToUserReadOnly,1,Set labor tech selection to read only. Does not apply for office users.,FieldQuotes
LaborThroughPayroll,,Enter labor in timecard entry instead of work completed,All
LandingPage,,Customer landing page,FieldDirect
LastCustomerWOAlert,10,Show an alert on new call page if the last work order created for the selected customer is older than this many days,FieldGateway
LocalhostForReports,,"Used for web requests coming from the application when generating pdfs, etc.",FieldAccess
LoggingEvents,1,Enable tech event logging,FieldAccess
LoggingLocation,1,Log tech location,FieldAccess
LookupDefaultToCustSite,,Default lookup to the customer/site tab,FieldAccess
ManualXOiJobCreation,,Technician will manually create XOi per assignment,FieldAccess
MapHome,"33.6793,-117.8474","Use as the center of the map when no other points available. latitude,longitude",FieldGateway
MaxAssignmentsDisplayed,0,Max trips displayed. If set to greater than 0 then trips will be sorted oldest to newest by scheduled date . Sorting and searching will not be avilable.,FieldAccess
MaxLookupResults,100,The maximum number of results to display for lookups/searches,All
MinAddressConfidence,High,The minimum confidence level of a lat/lon returned by the geocoder service. Does not apply when using Map Point,FieldGateway
MiscCostOrPrice,None,Show cost or price field for misc items,FieldAccess
MiscFormsHideSvcItemList,,Hide the serviceable item list on the misc forms page,FieldAccess
MultiDateBulkNonStock,,Start and end dates for bulk non stock entries,FieldAccess
MultiDayTripRetrieval,,Retrieve trips marked as multiday in calendar and schedule views.,All
MultipleAttachmentUpload,1,Allow multiple attachments to be uploaded at once,All
MustHaveLocationServices,,"To Log In, User must have location services turned on",FieldAccess
NewSiteSelectTaxCode,,Allow tax code selection when creating a new site.,FieldAccess
NewTripCreation,,Allow ceation of new trips for a work order,FieldAccess
NewTripDefaultUnscheduled,,Default 'leave unscheduled' selection to true,FieldAccess
NonStockPriceEntry,,Allow price entry for non stock 'other materials',FieldAccess
NonstockSetDate,,Allow the tech to set the date of non-stock entries,FieldAccess
NotifyCancelledQuote,,Send notification email when a quote is cancelled,FieldQuotes
OfficeReviewInvoiceAmount,5000,Dollar Invoice Amount to require Office review of Quote. Zero indicates no limit.,FieldQuotes
OfflineDays,"5,5","Number of days past and future to retrieve when going offline. Max is 5,5. Only applies if UsingOffline = multiple trips.",FieldAccess
OfflineFullSyncDate,1/1/2024,"Used to force a full sync of offline list data such as parts, std items, labor codes, etc. Enter a date in the format M/d/yyyy",FieldAccess
OLHistoryReport,VPDefaultHistory.htm,The name of the report to include with offline history records,FieldAccess
OLMaxHistory,5,Max history. Range is 0 to 10. Keep to a minimum to reduce downloaded data size and decrease download times.,FieldAccess
OLMaxTrips,30,Max trips when using multiple trips. Range is 1 to 30. Count begins with the oldest trip scheduled,FieldAccess
OLShowCompletedTrips,,Show trips completed offline in the trips list. Only applies if UsingOffline = multiple trips.,FieldAccess
OpenDetailsInNewWindow,1,"Open detail pages in new window. Applies to work order, equipment and site detail pages",FieldGateway
OpenEditInNewWindow,,Open edit page in new window. Applies to find an work orders pages,FieldGateway
OverrideAutoComplete,,Do not execute auto complete work order when follow up check box is checked.,FieldAccess
OverrideNonBillable,,Ability to set the non billable value of a work completed item on the advanced pages.,FieldAccess
OvertimePayType,15 - Regular Time,EarnType to use for overtime.,FieldAccess
PagingMessageFormat,Email,Send text or email when alerting technician,FieldGateway
PaymentReceiptAttachType,ACIS Project Scope - ACIS Agreement with Scope Details,The type to use when saving payment receipt attachments to the DM module. The list is filtered to only show custom types.,All
PayPeriodStartEnd,TH-WE,For pay period selection,FieldTime
PdfOrientationLandscape,,Orientation of the generated pdf,FieldTime
PlanningEventHeight,16,Height of planning view event cells - defaults to 16 - min is 16,FieldGateway
POCreation,,Allow users to create POs for a work order.,FieldGateway
POHeaderCreation,,Allow techs to create a PO header.,FieldAccess
POItemCreation,,Allow po items to be added to a new PO.,FieldAccess
POItemsAllMaterials,,Allow selection of any material for a PO item. Not limited to an inventory location.,FieldAccess
POItemsMaxCost,,Maximum allowed cost for all items on a PO. Zero or blank indicates no maximum.,FieldAccess
PONumberEntry,,Allow manual PO number entry,FieldAccess
PONumberEntryDispatch,,Allow manual PO number entry,FieldGateway
PORequestIncludeAttchments,,Select existing attachments to include with PO request,FieldAccess
PreloadBulkNonStock,,Preload non stock bulk add grid,FieldAccess
PreselectAttachments,Both,Preselect attachments on the service report email page,FieldAccess
PreventTripCompleteIfXOIJobOpen,,Prevent trip completion if XOi job is not complete,FieldAccess
PRLockTimesheet,1,Lock the timesheet if PTEnterdByMethod is Global.,All
ProjectReport,VPDefaultDailyProjectReport.htm,Report file name.,FieldProject
ProjReportVPAttachType,AR Cash Receipts - Customer Check Copy,The type to use when saving project reports to the DM module. The list is filtered to only show custom types.,All
PTCreateTimeHeader,,Create timesheets for payroll periods if they do not exist.,FieldAccess
PTDefaultEarnCode,1 - Regular (HOURLY),Default earn code for project timesheet entries if employee default earn code is not found.,FieldAccess
PTEnterdByMethod,Global,Project time timesheet entry employee. If Global then PTEntryEmployee nedds to be set.,FieldAccess
PTEntryEmployee,Jennifer R. Rodriguez,Timesheet entry employee if PTEnterdByMethod = Global.,FieldAccess
QRScan,1,Enable Scan QR Code for part number,All
QuoteAllowWOAssociation,,Allow associating a work order with a quote when the quote is created. Vista 6.15 and above.,FieldQuotes
QuoteCreateCustomerSite,None,Allow new customer and / or site creation.,FieldQuotes
QuoteExpirationDays,30,Days from current day that new Quotes are set to expire,FieldQuotes
QuoteLookupPermission,None,Lookup page permissions,FieldQuotes
QuoteNewSiteSelectTaxCode,,Allow tax code selection when creating a new site.,FieldQuotes
QuoteReportInternalOnly,,The quote report is not emailed to the customer,FieldQuotes
QuoteReportVPAttachType,Maintenance Estimate - PM Agreement Estimate,The type to use when saving quote reports to the DM module. The list is filtered to only show custom types. Must be different than default type for the SMWorkOrderQuote form,FieldQuotes
QuoteSiteHistoryDaysPast,180,Days past for quote history.,FieldQuotes
QuoteWOAssocEditable,None,Allow work order association editing.,FieldQuotes
ReduceImageAttachments,None,Reduce image attachments before uploading. This may also reduce the image quality.,All
RejectionReasons,"Timeframe,Scope,Budget,Other",Rejection reasons displayed on report signature page,FieldQuotes
ReportViewerRequireSignature,1,Require a signature on the service report,FieldAccess
